id,title,artist,spotify_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,date,decade,weeks_at_1,consecutive
HERE_IN_MY_HEART__AL_MARTINO,HERE IN MY HEART,AL MARTINO,0AwZRPEUFyZxpVnCIAi5ZF,0.195,0.276,1,-9.634,0.0336,0.645,0.124,0.343,0.22,105.189,182560,3,14/11/52,1950,9,TRUE
YOU_BELONG_TO_ME__JO_STAFFORD,YOU BELONG TO ME,JO STAFFORD,3xZe0jFAwc3akvChOrPS7u,0.37,0.145,5,-14.587,0.0315,0.945,0,0.116,0.169,68.7,190636,4,16/01/53,1950,1,TRUE
COMES_A-LONG_A-LOVE__KAY_STARR,COMES A-LONG A-LOVE,KAY STARR,1s4lrWOURqWZXb6OZRTSp4,0.442,0.423,10,-11.171,0.0598,0.801,0,0.133,0.864,172.92,133200,4,23/01/53,1950,1,TRUE
OUTSIDE_OF_HEAVEN__EDDIE_FISHER,OUTSIDE OF HEAVEN,EDDIE FISHER,7EPMQkSsE5g777MzuVvEtf,0.364,0.192,5,-9.493,0.032,0.965,0,0.227,0.16,73.068,157960,3,30/01/53,1950,1,TRUE
DON'T_LET_THE_STARS_GET_IN_YOUR_EYES__PERRY_COMO_WITH_THE_RAMBLERS,DON'T LET THE STARS GET IN YOUR EYES,PERRY COMO,67wujxNGj79fzPuROJRXLQ,0.808,0.421,8,-12.533,0.042,0.809,0,0.0724,0.963,122.752,160773,4,06/02/53,1950,5,TRUE
SHE_WEARS_RED_FEATHERS__GUY_MITCHELL,SHE WEARS RED FEATHERS,GUY MITCHELL,2SQU1KqKIfNPlcvHbQoogj,0.394,0.712,2,-6.689,0.0397,0.786,0,0.196,0.96,199.976,187133,4,13/03/53,1950,4,TRUE
BROKEN_WINGS__STARGAZERS,BROKEN WINGS,STARGAZERS,7lei0jLoAiZHZOkbPMjgg8,0.404,0.327,0,-9.081,0.0271,0.777,0,0.14,0.152,87.742,175200,4,10/04/53,1950,1,TRUE
(HOW_MUCH_IS)_THAT_DOGGIE_IN_THE_WINDOW__LITA_ROZA,(HOW MUCH IS) THAT DOGGIE IN THE WINDOW,LITA ROZA,21tRVC5hD1k8Bt60NT0yiv,0.729,0.115,2,-14.218,0.0469,0.949,0,0.0675,0.766,135.606,135933,3,17/04/53,1950,1,TRUE
I_BELIEVE__FRANKIE_LAINE,I BELIEVE,FRANKIE LAINE,049uxirFkHOefJ0yqPW8Kk,0.402,0.159,1,-18.598,0.0306,0.977,0.0000176,0.155,0.267,67.796,130893,4,24/04/53,1950,18,FALSE
I'M_WALKING_BEHIND_YOU__EDDIE_FISHER_WITH_SALLY_SWEETLAND,I'M WALKING BEHIND YOU,EDDIE FISHER SALLY SWEETLAND,2GnOgS6Z72IPzrQ2iRI89B,0.271,0.192,2,-11.842,0.0308,0.874,0,0.132,0.25,79.922,187089,4,26/06/53,1950,1,TRUE
THE_SONG_FROM_MOULIN_ROUGE__MANTOVANI,MOULIN ROUGE THEME,MANTOVANI,62g38zfSgs6iggvDagZiVW,0.189,0.266,7,-14.384,0.0393,0.88,0.882,0.169,0.117,92.244,172187,3,14/08/53,1950,1,TRUE
LOOK_AT_THAT_GIRL__GUY_MITCHELL,LOOK AT THAT GIRL,GUY MITCHELL,3Dnfvd4VGayvFaAMe1YTzE,0.745,0.376,5,-11.118,0.0472,0.893,0,0.101,0.809,123.576,173706,4,11/09/53,1950,6,TRUE
HEY_JOE__FRANKIE_LAINE,HEY JOE,FRANKIE LAINE,6kFNlVdlnMb8yO7mhS4qFm,0.702,0.665,3,-10.012,0.0678,0.723,0,0.701,0.776,122.031,139440,4,23/10/53,1950,2,TRUE
ANSWER_ME__DAVID_WHITFIELD,ANSWER ME,DAVID WHITFIELD,4JAWp9w60hTbJQiZoyRqZf,0.327,0.251,8,-11.218,0.0336,0.888,0.00000481,0.247,0.34,142.498,149722,3,06/11/53,1950,2,FALSE
ANSWER_ME__FRANKIE_LAINE,ANSWER ME,FRANKIE LAINE,0ivpgNJfh4RFZkiH0U0qEm,0.472,0.167,3,-17.558,0.0307,0.963,0.00000232,0.203,0.333,67.998,157267,4,13/11/53,1950,8,TRUE
OH_MEIN_PAPA__EDDIE_CALVERT,OH MEIN PAPA,EDDIE CALVERT,3t29xr4nzxUu1CPibWfU8m,0.301,0.395,10,-10.248,0.032,0.908,0.914,0.205,0.201,109.877,168533,4,08/01/54,1950,9,TRUE
I_SEE_THE_MOON__STARGAZERS,I SEE THE MOON,STARGAZERS,30uXpo99gO0nlBBzU2Tr8G,0.633,0.502,8,-7.086,0.0458,0.912,0,0.205,0.695,99.215,151773,4,12/03/54,1950,6,FALSE
SECRET_LOVE__DORIS_DAY,SECRET LOVE,DORIS DAY,2YqfGrsn017nC17cx84Onq,0.291,0.122,11,-16.075,0.0337,0.957,0.00139,0.129,0.179,132.677,218240,4,16/04/54,1950,9,FALSE
SUCH_A_NIGHT__JOHNNIE_RAY,SUCH A NIGHT,JOHNNIE RAY,4dA0HC0iK0uXTfovMFsyAN,0.723,0.507,9,-10.496,0.126,0.709,0,0.104,0.89,94.963,133187,4,30/04/54,1950,1,TRUE
"CARA_MIA__DAVID_WHITFIELD,_WITH_CHORUS_AND_MANTOVANI_AND_HIS_ORCHESTRA",CARA MIA,DAVID WHITFIELD MANTOVANI AND HIS ORCHESTRA,4epCElOZhTPcT1kZR7Nzh3,0.236,0.29,0,-9.724,0.0278,0.925,0.000394,0.202,0.0741,92.19,184653,4,02/07/54,1950,10,TRUE
LITTLE_THINGS_MEAN_A_LOT__KITTY_KALLEN,LITTLE THINGS MEAN A LOT,KITTY KALLEN,0ydY41ZG7jwXAwdoD9fG2l,0.403,0.215,8,-11.474,0.0395,0.709,0,0.137,0.336,131.008,178004,3,10/09/54,1950,1,TRUE
THREE_COINS_IN_THE_FOUNTAIN__FRANK_SINATRA,THREE COINS IN THE FOUNTAIN,FRANK SINATRA,5rg9sDw8EIKyy9fZOqdgx1,0.174,0.119,0,-16.701,0.0352,0.868,0.0000758,0.356,0.22,172.242,225427,5,17/09/54,1950,3,TRUE
HOLD_MY_HAND__DON_CORNELL,HOLD MY HAND,DON CORNELL,4fCfTLuNQmQeHznSt6pvwc,0.385,0.209,3,-11.7,0.0315,0.834,0.000658,0.219,0.292,82.363,169213,4,08/10/54,1950,5,FALSE
MY_SON_MY_SON__VERA_LYNN,MY SON MY SON,VERA LYNN,2qFaG2Tq22jVLNeIUIlGvX,0.301,0.176,10,-6.62,0.0332,0.938,0,0.27,0.375,89.287,161920,4,05/11/54,1950,2,TRUE
THIS_OLE_HOUSE__ROSEMARY_CLOONEY,THIS OLE HOUSE,ROSEMARY CLOONEY,3reMY0PF49alfXMs30c2z4,0.689,0.723,0,-8.079,0.0483,0.755,0,0.248,0.961,105.913,142267,4,26/11/54,1950,1,TRUE
LET'S_HAVE_ANOTHER_PARTY__WINIFRED_ATWELL,LET'S HAVE ANOTHER PARTY,WINIFRED ATWELL,2Sf5u4JUcW4CeKnArHjNnG,0.753,0.539,5,-10.229,0.0352,0.798,0.865,0.074,0.881,129.217,168027,4,03/12/54,1950,5,TRUE
FINGER_OF_SUSPICION__DICKIE_VALENTINE_WITH_THE_STARGAZERS,FINGER OF SUSPICION,DICKIE VALENTINE WITH THE STARGAZERS,2KHqXoKhBWnmXhujlB3cFV,0.588,0.15,4,-11.574,0.0287,0.864,0,0.125,0.435,72.813,175573,4,07/01/55,1950,3,FALSE
MAMBO_ITALIANO__ROSEMARY_CLOONEY_WITH_THE_MELLOMEN,MAMBO ITALIANO,ROSEMARY CLOONEY THE MELLOMEN,0QoV9nLBwYEU1bA6m61h4F,0.592,0.522,2,-9.922,0.217,0.777,0,0.219,0.807,150.452,149560,4,14/01/55,1950,3,FALSE
"SOFTLY,_SOFTLY__RUBY_MURRAY","SOFTLY, SOFTLY",RUBY MURRAY,27POwZpTHkqS8lYzu0folZ,0.3,0.245,2,-12.767,0.041,0.92,0.00203,0.102,0.268,126.523,149333,3,18/02/55,1950,3,TRUE
GIVE_ME_YOUR_WORD__TENNESSEE_ERNIE_FORD,GIVE ME YOUR WORD,TENNESSEE ERNIE FORD,2kgaCzymwXYgXqK1zVbZTT,0.355,0.291,3,-9.454,0.0274,0.888,0.44,0.226,0.286,93.364,190668,4,11/03/55,1950,7,TRUE
"CHERRY_PINK_AND_APPLE_BLOSSOM_WHITE__PEREZ_'PREZ'_PRADO_&_HIS_ORCHESTRA,_THE_KING_OF_THE_MAMBO",CHERRY PINK AND APPLE BLOSSOM WHITE,PEREZ PRADO & HIS ORCHESTRA,35S3qUFzyu7u9tj5v24mmh,0.484,0.422,3,-10.664,0.0402,0.294,0.905,0.0942,0.712,108.37,148392,4,29/04/55,1950,2,TRUE
STRANGER_IN_PARADISE__TONY_BENNETT,STRANGER IN PARADISE,TONY BENNETT,1HUc5mDTIx8Ul2cxSiAkcj,0.283,0.326,5,-9.091,0.0291,0.853,0.00000862,0.219,0.103,79.176,300333,4,13/05/55,1950,2,TRUE
CHERRY_PINK_AND_APPLE_BLOSSOM_WHITE__EDDIE_CALVERT,CHERRY PINK AND APPLE BLOSSOM WHITE,EDDIE CALVERT,3tAslcg6ygMIAcQWh0dJge,0.583,0.527,3,-8.477,0.0335,0.718,0.803,0.207,0.938,113.268,143867,4,27/05/55,1950,4,TRUE
UNCHAINED_MELODY__JIMMY_YOUNG,UNCHAINED MELODY,JIMMY YOUNG,1fMt3zLdhNstzY9b40aoSd,0.529,0.348,8,-10.605,0.0289,0.861,0.000938,0.103,0.635,108.503,162600,4,24/06/55,1950,3,TRUE
DREAMBOAT__ALMA_COGAN,DREAMBOAT,ALMA COGAN,0IrWAF44fR05kVifPolvP5,0.652,0.302,5,-11.502,0.138,0.837,0,0.344,0.862,172.215,107333,4,15/07/55,1950,2,TRUE
ROSE_MARIE__SLIM_WHITMAN,ROSE MARIE,SLIM WHITMAN,6wh6rkdJeDZqE5XLOP5QMz,0.497,0.135,2,-8.797,0.0301,0.919,0.000475,0.104,0.188,128.748,140173,4,29/07/55,1950,11,TRUE
THE_MAN_FROM_LARAMIE__JIMMY_YOUNG,THE MAN FROM LARAMIE,JIMMY YOUNG,1tdxyz5X5ZDR5wWv1EVfHr,0.808,0.419,8,-6.01,0.0353,0.359,0,0.12,0.723,87.012,144533,4,14/10/55,1950,4,TRUE
HERNANDO'S_HIDEAWAY__JOHNSTON_BROTHERS,HERNANDO'S HIDEAWAY,JOHNSTON BROTHERS,31FHgQydaOLN9VyEhzSe5w,0.733,0.311,7,-12.296,0.137,0.274,0.00000385,0.294,0.654,118.914,154459,4,11/11/55,1950,2,TRUE
ROCK_AROUND_THE_CLOCK__BILL_HALEY_&_HIS_COMETS,ROCK AROUND THE CLOCK,BILL HALEY & HIS COMETS,34AmZ4PMz9iNZVp9AMIGZj,0.609,0.526,9,-13.106,0.43,0.139,0,0.0946,0.931,173.179,137000,4,25/11/55,1950,6,FALSE
CHRISTMAS_ALPHABET__DICKIE_VALENTINE,CHRISTMAS ALPHABET,DICKIE VALENTINE,5WMSaM5QwhcwadtTh16cOE,0.643,0.138,0,-11.97,0.0425,0.858,0,0.271,0.477,87.134,124893,4,16/12/55,1950,3,TRUE
SIXTEEN_TONS__TENNESSEE_ERNIE_FORD,SIXTEEN TONS,TENNESSEE ERNIE FORD,3P6OwCX7Ofiaaqtvujb6i5,0.693,0.324,11,-15.085,0.205,0.796,0,0.246,0.393,144.14,158307,4,20/01/56,1950,2,TRUE
MEMORIES_ARE_MADE_OF_THIS__DEAN_MARTIN,MEMORIES ARE MADE OF THIS,DEAN MARTIN,4h0igWYayzteBtSNpWYQ9h,0.611,0.179,4,-15.977,0.0488,0.918,0,0.109,0.53,133.073,138080,4,17/02/56,1950,4,TRUE
IT'S_ALMOST_TOMORROW__DREAM_WEAVERS,IT'S ALMOST TOMORROW,DREAM WEAVERS,0tWlbyGpVfzo0v2owxsLKt,0.43,0.073,0,-17.86,0.0309,0.909,0,0.12,0.258,80.594,168542,3,16/03/56,1950,3,FALSE
